7.86;02/09/2019;10:35:05
7.83;02/09/2019;10:36:27
7.83;02/09/2019;10:37:50
7.83;02/09/2019;10:39:11
7.82;02/09/2019;10:40:33
7.82;02/09/2019;10:41:55
7.82;02/09/2019;10:47:18
7.83;02/09/2019;10:48:41
7.86;02/09/2019;10:50:02
7.84;02/09/2019;10:51:24
7.84;02/09/2019;10:52:46
7.84;02/09/2019;10:54:08
7.84;02/09/2019;10:57:45
7.83;02/09/2019;10:59:07
7.83;02/09/2019;11:00:29
7.86;02/09/2019;11:01:51
7.88;02/09/2019;11:03:13
7.9;02/09/2019;11:04:35
7.92;02/09/2019;11:24:46
7.91;02/09/2019;11:25:39
7.92;02/09/2019;11:27:19
7.92;02/09/2019;11:27:58
7.92;02/09/2019;11:32:18
7.92;02/09/2019;11:33:18
7.91;02/09/2019;11:34:40
7.92;02/09/2019;11:36:02
7.92;02/09/2019;11:37:24
7.91;02/09/2019;11:38:45
7.89;02/09/2019;11:40:07
7.93;02/09/2019;11:55:14
7.95;02/09/2019;11:56:36
7.96;02/09/2019;11:57:58
7.96;02/09/2019;11:59:20
7.96;02/09/2019;12:00:42
7.96;02/09/2019;12:02:04
7.93;02/09/2019;13:24:32
7.95;02/09/2019;13:25:22
7.95;02/09/2019;13:26:52
7.95;02/09/2019;13:27:15
7.95;02/09/2019;13:27:39
7.95;02/09/2019;13:28:03
7.96;02/09/2019;13:29:20
7.96;02/09/2019;13:29:43
7.95;02/09/2019;13:30:07
7.91;02/09/2019;13:42:06
7.91;02/09/2019;13:43:33
7.91;02/09/2019;13:47:41
7.91;02/09/2019;13:49:32
7.88;02/09/2019;13:53:36
7.88;02/09/2019;13:54:16
7.89;02/09/2019;13:57:37
7.88;02/09/2019;14:16:22
7.88;02/09/2019;14:17:04
7.88;02/09/2019;14:22:32
7.88;02/09/2019;14:23:20
7.88;02/09/2019;14:23:42
7.88;02/09/2019;14:24:04
7.88;02/09/2019;14:24:26
7.87;02/09/2019;14:24:48
7.87;02/09/2019;14:25:11
7.88;02/09/2019;14:25:33
7.88;02/09/2019;14:25:56
7.88;02/09/2019;14:26:18
7.88;02/09/2019;14:26:40
7.89;02/09/2019;14:27:02
7.89;02/09/2019;14:27:25
7.89;02/09/2019;14:27:47
7.89;02/09/2019;14:28:09
7.89;02/09/2019;14:28:31
7.88;02/09/2019;14:28:38
7.9;02/09/2019;14:33:25
7.89;02/09/2019;14:37:15
7.89;02/09/2019;14:37:37
7.89;02/09/2019;14:37:59
7.89;02/09/2019;14:38:21
7.89;02/09/2019;14:38:43
7.89;02/09/2019;14:39:05
7.89;02/09/2019;14:39:27
7.89;02/09/2019;14:39:49
7.89;02/09/2019;14:40:11
7.89;02/09/2019;14:40:33
7.89;02/09/2019;14:40:55
7.89;02/09/2019;14:41:17
7.89;02/09/2019;14:41:39
7.89;02/09/2019;14:42:01
7.89;02/09/2019;14:42:23
7.89;02/09/2019;14:42:45
7.89;02/09/2019;14:43:06
7.89;02/09/2019;14:43:28
7.91;02/09/2019;14:43:50
7.91;02/09/2019;14:44:12
7.91;02/09/2019;14:44:34
7.91;02/09/2019;14:44:56
7.91;02/09/2019;14:45:18
7.91;02/09/2019;14:45:40
7.91;02/09/2019;14:46:03
7.91;02/09/2019;14:46:25
7.91;02/09/2019;14:46:47
7.91;02/09/2019;14:47:09
7.89;02/09/2019;14:47:30
7.89;02/09/2019;14:47:52
7.89;02/09/2019;14:48:14
7.89;02/09/2019;14:48:36
7.89;02/09/2019;14:48:58
7.89;02/09/2019;14:49:20
7.89;02/09/2019;14:49:42
7.89;02/09/2019;14:50:04
7.89;02/09/2019;14:50:26
7.89;02/09/2019;14:50:48
7.89;02/09/2019;14:51:10
7.89;02/09/2019;14:51:32
7.89;02/09/2019;14:51:54
7.89;02/09/2019;14:52:16
7.89;02/09/2019;14:52:38
7.89;02/09/2019;14:53:00
7.89;02/09/2019;14:53:22
7.89;02/09/2019;14:53:44
7.89;02/09/2019;14:54:06
7.89;02/09/2019;14:54:28
7.89;02/09/2019;14:54:50
7.89;02/09/2019;14:55:12
7.89;02/09/2019;14:55:34
7.89;02/09/2019;14:55:56
7.89;02/09/2019;14:56:18
7.89;02/09/2019;14:56:40
7.89;02/09/2019;14:57:02
7.89;02/09/2019;14:57:23
7.89;02/09/2019;14:57:45
7.89;02/09/2019;14:58:07
7.89;02/09/2019;14:58:29
7.89;02/09/2019;14:58:51
7.89;02/09/2019;14:59:13
7.89;02/09/2019;14:59:35
7.89;02/09/2019;14:59:57
7.89;02/09/2019;15:00:18
7.89;02/09/2019;15:00:40
7.89;02/09/2019;15:01:02
7.89;02/09/2019;15:01:24
7.89;02/09/2019;15:01:46
7.89;02/09/2019;15:02:09
7.89;02/09/2019;15:02:31
7.89;02/09/2019;15:02:53
7.89;02/09/2019;15:03:15
7.89;02/09/2019;15:03:37
7.89;02/09/2019;15:03:59
7.89;02/09/2019;15:04:21
7.91;02/09/2019;15:04:43
7.92;02/09/2019;15:05:05
7.93;02/09/2019;15:05:27
7.92;02/09/2019;15:05:49
7.92;02/09/2019;15:06:05
7.92;02/09/2019;15:06:27
7.92;02/09/2019;15:06:49
7.92;02/09/2019;15:07:11
7.92;02/09/2019;15:07:34
7.92;02/09/2019;15:07:56
7.93;02/09/2019;15:08:18
7.92;02/09/2019;15:08:41
7.92;02/09/2019;15:09:04
7.92;02/09/2019;15:09:26
7.92;02/09/2019;15:09:48
7.92;02/09/2019;15:10:10
7.92;02/09/2019;15:10:32
7.92;02/09/2019;15:10:54
7.92;02/09/2019;15:11:16
7.92;02/09/2019;15:11:38
7.92;02/09/2019;15:12:01
7.92;02/09/2019;15:12:23
7.92;02/09/2019;15:12:45
7.92;02/09/2019;15:13:08
7.93;02/09/2019;15:13:30
7.92;02/09/2019;15:13:52
7.93;02/09/2019;15:14:14
7.93;02/09/2019;15:14:37
7.93;02/09/2019;15:14:59
7.93;02/09/2019;15:15:21
7.92;02/09/2019;15:15:44
7.92;02/09/2019;15:16:06
7.92;02/09/2019;15:16:28
